,params
1177,SRW05
1178,SRW06
1179,SRW07
1180,SRW08
1181,SRW09
1182,SRW10
1183,TSRW10
1184,MW
1185,AMW
1186,WPath
1187,WPol
1188,Zagreb1
1189,Zagreb2
1190,mZagreb1
1191,mZagreb2
1192,UNIQUETT
1193,UNIQUEAP
1194,CHIRAL_COUNT
1195,CHIRAL_ALLATOM_RATIO
